"latitude","longitude","year","month","frp","daynight"
-37.4861,145.5468,"2017","04",2066.1,"D"
-36.6905,144.8079,"2017","04",607.3,"D"
-37.4889,145.5553,"2017","04",1334.6,"D"
-35.8621,146.2708,"2017","04",892.4,"D"
-34.2892,146.6039,"2017","04",754,"D"
-35.8565,146.2964,"2017","04",625.7,"D"
-41.4156,146.4487,"2017","04",890.6,"D"
-37.3921,148.2813,"2017","04",1057.6,"D"
-32.9045,117.0936,"2017","04",617.5,"D"
-33.7861,117.505,"2017","04",980.1,"D"
-30.8387,116.5138,"2017","04",566.6,"D"
-30.8331,149.7486,"2017","04",605.3,"D"
-30.8268,149.7511,"2017","04",569.1,"D"
-30.8348,149.7172,"2017","04",866.1,"D"
-33.6495,135.778,"2017","04",1179.2,"D"
-21.0909,130.4205,"2017","04",614.3,"D"
-37.5208,143.1173,"2017","04",701.1,"D"
-37.5182,143.1116,"2017","04",527.4,"D"
-29.0026,149.7415,"2017","04",1042.8,"D"
-18.2895,124.8823,"2017","04",1152.7,"D"
-18.2844,124.8777,"2017","04",1030.2,"D"
-42.9182,146.8546,"2017","04",716.4,"D"
-42.9079,146.8502,"2017","04",686.1,"D"
-43.0006,146.75,"2017","04",603,"D"
-29.8813,149.5111,"2017","05",1074.6,"D"
-19.3737,125.2681,"2017","05",952.6,"D"
-19.3743,125.2619,"2017","05",678.9,"D"
-18.635,126.2335,"2017","05",642.2,"D"
-34.6304,115.9492,"2017","05",643.1,"D"
-34.6175,115.9477,"2017","05",631.7,"D"
-34.6195,115.9242,"2017","05",1229.7,"D"
-31.3779,116.1989,"2017","05",899.7,"D"
-31.376,116.2187,"2017","05",591.7,"D"
-31.4086,116.1895,"2017","05",1023.1,"D"
-31.4068,116.2096,"2017","05",920.6,"D"
-31.3844,116.1866,"2017","05",694,"D"
-31.3862,116.1669,"2017","05",585.6,"D"
-31.392,116.1806,"2017","05",698.4,"D"
-31.3826,116.2065,"2017","05",1017,"D"
-31.3705,116.2049,"2017","05",649.9,"D"
-31.3983,116.1685,"2017","05",559,"D"
-31.3965,116.1881,"2017","05",1036,"D"
-32.157,116.4538,"2017","05",539.8,"D"
-32.1613,116.4591,"2017","05",549.3,"D"
-19.3618,125.1999,"2017","05",543.1,"D"
-23.8961,145.6312,"2017","05",564.2,"N"
-35.1824,147.43,"2017","05",500.7,"D"
-21.1657,129.8911,"2017","05",1061.9,"D"
-21.1768,129.9151,"2017","05",552.2,"D"
-21.1746,129.9375,"2017","05",650.2,"D"
-21.1702,129.9819,"2017","05",621.4,"D"
-21.1306,129.8822,"2017","05",693.4,"D"
-21.144,129.8838,"2017","05",1395.5,"D"
